"nr_num_infection_screen","d_completed","cd_regio"
"","2020-04-10","VLA"
"","2020-04-14","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"120","2020-04-15","VLA"
"110","2020-04-15","VLA"
"","2020-04-15","VLA"
"30","2020-04-15","VLA"
"50","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"30","2020-04-15","VLA"
"","2020-04-15","VLA"
"21","2020-04-15","VLA"
"15","2020-04-15","VLA"
"19","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"0","2020-04-15","VLA"
"35","2020-04-15","VLA"
"3","2020-04-15","VLA"
"34","2020-04-15","VLA"
"40","2020-04-15","VLA"
"","2020-04-15","VLA"
"20","2020-04-15","VLA"
"15","2020-04-15","VLA"
"","2020-04-15","VLA"
"0","2020-04-15","VLA"
"","2020-04-15","VLA"
"25","2020-04-15","VLA"
"5","2020-04-15","VLA"
"","2020-04-15","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"120","2020-04-15","VLA"
"5","2020-04-15","VLA"
"5","2020-04-15","BRU"
"","2020-04-15","VLA"
"5","2020-04-15","VLA"
"","2020-04-15","VLA"
"5","2020-04-15","VLA"
"2","2020-04-15","VLA"
"450","2020-04-15","VLA"
"0","2020-04-15","VLA"
"100","2020-04-15","VLA"
"45","2020-04-15","VLA"
"","2020-04-15","VLA"
"20","2020-04-15","VLA"
"","2020-04-15","VLA"
"146","2020-04-15","VLA"
"112","2020-04-15","VLA"
"10","2020-04-15","VLA"
"50","2020-04-15","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"80","2020-04-16","VLA"
"40","2020-04-17","VLA"
"26","2020-04-20","VLA"
"15","2020-04-20","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"36","2020-04-22","VLA"
"30","2020-04-22","VLA"
"2","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"3","2020-04-22","VLA"
"5","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"115","2020-04-22","VLA"
"0","2020-04-22","VLA"
"20","2020-04-22","VLA"
"15","2020-04-22","VLA"
"","2020-04-22","VLA"
"3","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"10","2020-04-22","VLA"
"0","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"10","2020-04-22","VLA"
"25","2020-04-22","VLA"
"35","2020-04-22","VLA"
"","2020-04-22","VLA"
"2","2020-04-22","VLA"
"120","2020-04-22","VLA"
"34","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"94","2020-04-22","VLA"
"25","2020-04-22","VLA"
"70","2020-04-22","VLA"
"","2020-04-22","VLA"
"45","2020-04-22","VLA"
"5","2020-04-22","BRU"
"15","2020-04-22","VLA"
"50","2020-04-22","VLA"
"10","2020-04-22","VLA"
"","2020-04-22","VLA"
"60","2020-04-22","VLA"
"20","2020-04-22","VLA"
"10","2020-04-22","VLA"
"","2020-04-22","VLA"
"50","2020-04-22","VLA"
"","2020-04-22","VLA"
"100","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"50","2020-04-22","VLA"
"30","2020-04-22","VLA"
"50","2020-04-22","VLA"
"0","2020-04-22","VLA"
"20","2020-04-22","VLA"
"50","2020-04-22","VLA"
"0","2020-04-22","VLA"
"","2020-04-22","VLA"
"10","2020-04-22","VLA"
"40","2020-04-22","VLA"
"50","2020-04-22","VLA"
"7","2020-04-23","VLA"
"22","2020-04-23","VLA"
"0","2020-04-23","VLA"
"","2020-04-23","VLA"
"19","2020-04-28","VLA"
"","2020-04-28","VLA"
"10","2020-04-29","VLA"
"","2020-04-29","VLA"
"10","2020-04-29","VLA"
"0","2020-04-29","VLA"
"20","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"0","2020-04-29","VLA"
"60","2020-04-29","VLA"
"236","2020-04-29","VLA"
"","2020-05-06","VLA"
