"nr_num_infection_screen","d_completed","cd_regio"
"0","2020-04-06","VLA"
"","2020-04-06","VLA"
"1000","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"400","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-07","VLA"
"30","2020-04-07","BRU"
"30","2020-04-07","VLA"
"3","2020-04-07","VLA"
"10","2020-04-07","VLA"
"10","2020-04-07","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"15","2020-04-08","WAL"
"7","2020-04-08","VLA"
"50","2020-04-08","VLA"
"7","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"5","2020-04-08","WAL"
"","2020-04-08","VLA"
"5","2020-04-08","WAL"
"10","2020-04-08","BRU"
"11","2020-04-08","VLA"
"15","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"300","2020-04-08","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"30","2020-04-09","WAL"
"10","2020-04-09","WAL"
"","2020-04-10","WAL"
"3","2020-04-10","WAL"
"30","2020-04-13","VLA"
"10","2020-04-13","VLA"
"300","2020-04-13","VLA"
"250","2020-04-13","VLA"
"15","2020-04-13","WAL"
"50","2020-04-13","VLA"
"50","2020-04-13","VLA"
"5","2020-04-13","VLA"
"5","2020-04-13","BRU"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"5","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"10","2020-04-15","VLA"
"8","2020-04-15","VLA"
"","2020-04-15","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"15","2020-04-15","WAL"
"7","2020-04-15","VLA"
"5","2020-04-15","WAL"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"2","2020-04-15","BRU"
"150","2020-04-15","VLA"
"5","2020-04-15","VLA"
"","2020-04-15","VLA"
"5","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-17","WAL"
"30","2020-04-20","BRU"
"10","2020-04-20","WAL"
"","2020-04-20","WAL"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"10","2020-04-20","VLA"
"","2020-04-20","VLA"
"4","2020-04-20","BRU"
"2","2020-04-20","BRU"
"","2020-04-20","VLA"
"250","2020-04-20","VLA"
"5","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"10","2020-04-20","WAL"
"","2020-04-20","WAL"
"7","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"5","2020-04-20","VLA"
"15","2020-04-20","WAL"
"","2020-04-20","VLA"
"10","2020-04-20","VLA"
"","2020-04-20","VLA"
"5","2020-04-20","VLA"
